分類するご飯名,カロリー,タンパク質,脂質,炭水化物,塩分,食物繊維,一人前
ラーメン,58,2.88,1.2,9.54,0.89,0.98,758.2
まぜそば,139,7.68,6.55,14.08,1.65,1.47,563.5
ざるそば,88,3.94,0.45,17.26,1.27,1.04,411
うどん,68,3.03,1.94,10.57,0.83,0.6,588
焼きそば,157,4.68,6.51,22.56,1.39,2.21,280.9
スパゲッティ,154,5.78,4.62,24.84,1.8,2.28,351.1
カツ丼,172,6.5,6.6,22.49,0.91,0.5,503.6
親子丼,137,6.87,1.63,24.59,1.1,0.81,460.5
海鮮丼,144,10.53,3.05,20.2,0.8,0.92,500
牛丼,172,4.33,5.72,26.96,0.59,1.24,416.5
豚丼,151,3.81,5.3,22.42,0.69,1.02,504
カレーライス,118,3.13,3.93,19.04,0.59,1.92,676.3
キーマカレー,143,3.82,4.31,23.96,0.48,1.35,467.8
オムライス,162,5.7,5.93,22.76,0.73,1.03,473.5
チャーハン,162,4.56,5.56,24.51,0.95,1.22,399
ハンバーグ,223,13.3,13.4,12.3,1.2,0,120
豚カツ,327,15.92,26.86,6.55,0.6,0.4,134.6
ステーキ,255,13.93,22.07,0.43,0.99,0,129.2
焼き魚,107,18.87,4.31,0.1,4.49,0,71
煮魚,138,18.49,3.59,6.4,1.08,0,127
天ぷら,186,7.42,14.51,8.37,0.12,1.6,66.3
餃子,209,6.9,11.3,22.3,1.2,1.5,120
からあげ,277,13.53,23.62,3.67,1.23,0.05,104.5
麻婆豆腐,138,7.8,10.56,3.85,1.5,0.98,256.2
おでん,79,6.07,3.97,5.44,0.7,0.71,746.7
たこ焼き,243,10.27,6.58,36.34,1.1,1.47,123.5
味噌汁,21,1.2,0.29,3.91,0.68,0.54,177
豚汁,66,3.29,4.92,2.94,0.8,0.81,176
ハンバーガー,207,9.52,10.37,21.26,0.84,1.94,238.5
お好み焼き,218,8.43,9.57,25.42,0.75,1.46,237
ピザ,165,8.03,7.26,18.52,1.04,1.41,386
納豆,184,16.5,10,12.1,0,9.5,50
卵焼き,232,10,18.2,7.66,1.15,0,122
野菜サラダ,41,1.6,0.14,8.44,2.46,0.9,51.3
肉じゃが,76,3.85,3.76,7.65,0.76,2.33,455
野菜の煮物,69,4.08,2.7,7.4,0.56,1.01,401.3
漬物,36,2.42,0.13,7.29,0.86,2.64,46.65
焼き鳥,376,30.82,25.26,6.65,160.02,2.1,50
コロッケ,226,5.3,12.6,25.2,0.7,2,62
野菜炒め,164,4.69,14.76,4.28,1.06,1.19,189
白米,342,6.1,0.9,77.6,0,0.5,150
生姜焼き,235,13.69,16.59,5.04,1.78,0.06,152
ソーセージ,269,14,24.4,0.8,1.7,0,20
手羽先,252,13.08,18.2,7.91,2.34,0.27,44.5
目玉焼き,192,11.12,16.28,0.61,2.12,0,57.2
コーンスープ,425,8.1,13.7,67.4,7.1,0,19
フライドポテト,229,2.9,10.6,32.4,0,3.1,135
チキンナゲット,205,18.33,12.02,7.38,0.58,0.63,102.4
魚のフライ,299,9.7,21.8,16.2,0.9,0,40
パン,248,8.9,4.1,46.4,1.2,4.2,60
