分類,カロリー,タンパク質,脂質,炭水化物,食物繊維
18-29-1-0,2300,65,63.88888889,330.625,21
18-29-2-0,2650,65,73.61111111,380.9375,21
18-29-3-0,3050,65,84.72222222,438.4375,21
18-29-1-1,1700,50,47.22222222,244.375,18
18-29-2-1,2000,50,55.55555556,287.5,18
18-29-3-1,2300,50,63.88888889,330.625,18
30-49-1-0,2300,65,63.88888889,330.625,21
30-49-2-0,2700,65,75,388.125,21
30-49-3-0,3050,65,84.72222222,438.4375,21
30-49-1-1,1750,50,48.61111111,251.5625,18
30-49-2-1,2050,50,56.94444444,294.6875,18
30-49-3-1,2350,50,65.27777778,337.8125,18
50-64-1-0,2200,65,61.11111111,316.25,20
50-64-2-0,2600,65,72.22222222,373.75,20
50-64-3-0,2950,65,81.94444444,424.0625,20
50-64-1-1,1650,50,45.83333333,237.1875,18
50-64-2-1,1950,50,54.16666667,280.3125,18
50-64-3-1,2250,50,62.5,323.4375,18
65-74-1-0,2050,60,56.94444444,294.6875,20
65-74-2-0,2400,60,66.66666667,345,20
65-74-3-0,2750,60,76.38888889,395.3125,20
65-74-1-1,1550,50,43.05555556,222.8125,17
65-74-2-1,1850,50,51.38888889,265.9375,17
65-74-3-1,2100,50,58.33333333,301.875,17
75-1-0,1850,60,51.38888889,265.9375,19
75-2-0,2200,60,61.11111111,316.25,19
75-3-0,2500,60,69.44444444,359.375,19
75-1-1,1500,60,41.66666667,215.625,19
75-2-1,1750,60,48.61111111,251.5625,19
75-3-1,2000,60,55.55555556,287.5,19
,,,,,
